factor,level,method,lead_hour,n,rmse,mae
rapid_change,stable_or_gradual,AGCRN,6,235677,35.82980584370892,21.668606675510272
rapid_change,rapid_change,AGCRN,12,15951,110.17740428350642,75.09572042331345
rapid_change,stable_or_gradual,AGCRN,12,235689,44.028288838601384,26.441839771337538
rapid_change,rapid_change,AGCRN,24,15930,133.4203797803211,93.26852555873629
rapid_change,stable_or_gradual,AGCRN,24,235710,62.106821624273465,39.31710679106473
rapid_change,rapid_change,BiLSTM-MA,1,15969,63.450442914578986,49.80645891662919
rapid_change,stable_or_gradual,BiLSTM-MA,1,235671,15.315272539986378,10.918916717018465
rapid_change,rapid_change,BiLSTM-MA,6,15963,100.39498067265687,68.55963089740463
rapid_change,stable_or_gradual,BiLSTM-MA,6,235677,37.962719572832555,23.83528929839424
rapid_change,rapid_change,BiLSTM-MA,12,15951,116.07326386111829,79.92743236548803
rapid_change,stable_or_gradual,BiLSTM-MA,12,235689,46.48724926699689,28.775734286304363
rapid_change,rapid_change,BiLSTM-MA,24,15930,132.30698730330965,93.42007612694155
rapid_change,stable_or_gradual,BiLSTM-MA,24,235710,62.63631215473437,39.604008851041826
rapid_change,rapid_change,GRU+RNN,1,15969,62.52202543440212,49.223315540361256
rapid_change,stable_or_gradual,GRU+RNN,1,235671,14.05609302844482,9.942734329913657
rapid_change,rapid_change,GRU+RNN,6,15963,97.007734894542,67.76883423305249
rapid_change,stable_or_gradual,GRU+RNN,6,235677,38.01997233973333,23.798523370042812
rapid_change,rapid_change,GRU+RNN,12,15951,111.81099289409318,76.45733396585933
rapid_change,stable_or_gradual,GRU+RNN,12,235689,45.81802847369387,28.638736525289772
rapid_change,rapid_change,GRU+RNN,24,15930,128.87471982057897,90.46938035794945
rapid_change,stable_or_gradual,GRU+RNN,24,235710,60.891241629953846,39.45604445564849
rapid_change,rapid_change,Graph WaveNet,1,15969,59.10900494104842,44.15883177661054
rapid_change,stable_or_gradual,Graph WaveNet,1,235671,15.928824055139863,10.958338085474372
rapid_change,rapid_change,Graph WaveNet,6,15963,94.64785230190049,65.45697078308739
rapid_change,stable_or_gradual,Graph WaveNet,6,235677,34.68270102851803,20.98353641206627
rapid_change,rapid_change,Graph WaveNet,12,15951,110.61368024564202,75.19918399753634
rapid_change,stable_or_gradual,Graph WaveNet,12,235689,42.68257953173073,25.980508644309868
rapid_change,rapid_change,Graph WaveNet,24,15930,134.22565459059308,94.48549207350928
rapid_change,stable_or_gradual,Graph WaveNet,24,235710,61.25972115387138,38.37458452035168
rapid_change,rapid_change,HERMES,1,15969,58.772216593758635,46.64169393856902
rapid_change,stable_or_gradual,HERMES,1,235671,10.043766415916718,7.1031667210169935
rapid_change,rapid_change,HERMES,6,15963,90.95836136242652,62.33267817649299
rapid_change,stable_or_gradual,HERMES,6,235677,32.80838566794965,19.64431816836837
rapid_change,rapid_change,HERMES,12,15951,106.87644640310062,72.53593741661403
rapid_change,stable_or_gradual,HERMES,12,235689,40.666758612658526,24.96347931893111
rapid_change,rapid_change,HERMES,24,15930,127.16573012429042,88.61771219095492
rapid_change,stable_or_gradual,HERMES,24,235710,58.96175581340182,37.641970710260075
rapid_change,rapid_change,Persistence,1,15969,68.31110919208467,56.74300208388247
rapid_change,stable_or_gradual,Persistence,1,235671,9.341716052203848,6.837506554341828
rapid_change,rapid_change,Persistence,6,15963,123.20444035272975,91.10070493252199
rapid_change,stable_or_gradual,Persistence,6,235677,47.30947151949649,27.889631683276917
rapid_change,rapid_change,Persistence,12,15951,137.68485082298596,96.2935260532717
rapid_change,stable_or_gradual,Persistence,12,235689,65.89473298353496,40.417584603586896
rapid_change,rapid_change,Persistence,24,15930,149.3058111086375,105.71534749882369
rapid_change,stable_or_gradual,Persistence,24,235710,81.43710921865109,53.74769210433389
rapid_change,rapid_change,STGCN,1,15969,60.403217482072954,46.14539602895858
rapid_change,stable_or_gradual,STGCN,1,235671,17.752959246608672,11.787898639066258
rapid_change,rapid_change,STGCN,6,15963,97.20238538226076,68.2657679410116
rapid_change,stable_or_gradual,STGCN,6,235677,38.25196597400943,23.85413379791435
rapid_change,rapid_change,STGCN,12,15951,111.90134841148534,76.2760071586452
rapid_change,stable_or_gradual,STGCN,12,235689,45.69633914497884,28.49401230397557
rapid_change,rapid_change,STGCN,24,15930,132.34296990980462,93.6554916182181
rapid_change,stable_or_gradual,STGCN,24,235710,62.465001513173675,40.34803734370827
rapid_change,rapid_change,Spatial CNN,1,15969,64.94147086965495,46.70684363671957
rapid_change,stable_or_gradual,Spatial CNN,1,235671,23.30271025848914,14.784266586212075
rapid_change,rapid_change,Spatial CNN,6,15963,93.64262077649528,63.970964593964396
rapid_change,stable_or_gradual,Spatial CNN,6,235677,35.72395895254459,21.723757369796367
rapid_change,rapid_change,Spatial CNN,12,15951,108.66082843051792,74.21476200442876
rapid_change,stable_or_gradual,Spatial CNN,12,235689,43.60977048641047,26.432291031004674
rapid_change,rapid_change,Spatial CNN,24,15930,133.40102463169848,93.43252793747303
rapid_change,stable_or_gradual,Spatial CNN,24,235710,65.5930480805387,40.7064663030741
wind_regime,low_wind,AGCRN,1,84060,31.656512905568405,18.834061349906044
wind_regime,mid_wind,AGCRN,1,83808,26.69090124222292,15.775005637701856
wind_regime,high_wind,AGCRN,1,83772,22.777610945125954,13.573094109443712
wind_regime,low_wind,AGCRN,6,83880,48.77887055548075,27.95057675103432
wind_regime,mid_wind,AGCRN,6,83808,40.95231535642821,24.895866555544757
wind_regime,high_wind,AGCRN,6,83952,34.15947464784315,20.18628129700445
wind_regime,low_wind,AGCRN,12,83880,58.82440748430474,33.45383901858989
wind_regime,mid_wind,AGCRN,12,83844,50.18957406249341,29.830548177194085
wind_regime,high_wind,AGCRN,12,83916,42.14583847921539,25.29532046440565
wind_regime,low_wind,AGCRN,24,83880,72.45337736359903,44.14389701942688
wind_regime,mid_wind,AGCRN,24,83988,64.85455757973071,40.99814628379659
wind_regime,high_wind,AGCRN,24,83772,69.02897753846653,43.05806787231417
wind_regime,low_wind,BiLSTM-MA,1,84060,24.20813563828929,14.582855623754863
wind_regime,mid_wind,BiLSTM-MA,1,83808,21.583421984006982,13.2936579383776
wind_regime,high_wind,BiLSTM-MA,1,83772,19.318933544042856,12.279540130637047
wind_regime,low_wind,BiLSTM-MA,6,83880,51.408672113284005,30.07007564182758
wind_regime,mid_wind,BiLSTM-MA,6,83808,44.63563681819002,27.39019400494706
wind_regime,high_wind,BiLSTM-MA,6,83952,36.50688458827341,22.561124690178065
wind_regime,low_wind,BiLSTM-MA,12,83880,60.97015682356825,35.775926442254594
wind_regime,mid_wind,BiLSTM-MA,12,83844,53.27096353850363,32.31369658659264
wind_regime,high_wind,BiLSTM-MA,12,83916,45.60144975543211,27.966683651319173
wind_regime,low_wind,BiLSTM-MA,24,83880,75.09781573032045,45.806615204494456
wind_regime,mid_wind,BiLSTM-MA,24,83988,65.1806946839396,40.97901217521142
wind_regime,high_wind,BiLSTM-MA,24,83772,66.79351835180837,42.24846704216916
wind_regime,low_wind,GRU+RNN,1,84060,23.285734010686713,13.728385534033785
wind_regime,mid_wind,GRU+RNN,1,83808,20.37548289770981,12.292775926846227
